profile;obis
ODR_Min_P_Power;PQ_1-0:21.23.0.255,PQ_1-0:41.23.0.255,PQ_1-0:61.23.0.255,PQ_1-0:1.23.0.255,PQ_1-0:22.23.0.255,PQ_1-0:42.23.0.255,PQ_1-0:62.23.0.255,PQ_1-0:2.23.0.255
ODR_Min_Q_Power;PQ_1-0:23.23.0.255,PQ_1-0:43.23.0.255,PQ_1-0:63.23.0.255,PQ_1-0:3.23.0.255,PQ_1-0:24.23.0.255,PQ_1-0:44.23.0.255,PQ_1-0:64.23.0.255,PQ_1-0:4.23.0.255
ODR_A+_LP2;LP2_1-0:1.8.0.255,LP2_1-0:1.8.1.255,LP2_1-0:1.8.2.255,LP2_1-0:1.8.3.255,LP2_1-0:1.8.4.255
ODR_A-_LP2;LP2_1-0:2.8.0.255,LP2_1-0:2.8.1.255,LP2_1-0:2.8.2.255,LP2_1-0:2.8.3.255,LP2_1-0:2.8.4.255
ODR_R+_LP2;LP2_1-0:3.8.0.255,LP2_1-0:3.8.1.255,LP2_1-0:3.8.2.255,LP2_1-0:3.8.3.255,LP2_1-0:3.8.4.255
ODR_R-_LP2;LP2_1-0:4.8.0.255,LP2_1-0:4.8.1.255,LP2_1-0:4.8.2.255,LP2_1-0:4.8.3.255,LP2_1-0:4.8.4.255
ODR_A+_LP1;LP1_1-0:1.8.0.255
ODR_A+_LP1;LP1_1-0:2.8.0.255
ODR_R+_LP1;LP1_1-0:3.8.0.255
ODR_R-_LP1;LP1_1-0:4.8.0.255

