profile;obis
ERegisters;P1D_1-0:1.8.1.255,P1D_1-0:1.8.2.255,P1D_1-0:2.8.1.255,P1D_1-0:2.8.2.255
ODR_LP1;P15MIN_1-0:1.8.0.255,P15MIN_1-0:2.8.0.255,P15MIN_1-0:3.8.0.255,P15MIN_1-0:4.8.0.255,P15MIN_1-0:1.8.1.255,P15MIN_1-0:1.8.2.255
ODR_LP2;P60MIN_1-0:1.8.0.255,P60MIN_1-0:2.8.0.255,P60MIN_1-0:3.8.0.255,P60MIN_1-0:4.8.0.255,P60MIN_1-0:1.8.1.255,P60MIN_1-0:1.8.2.255
REGISTERS_READS_PP;R_1;0;31;7;0;255, R_1;0;51;7;0;255,R_1;0;71;7;0;255,R_1;0;21;7;0;255,R_1;0;41;7;0;255,R_1;0;61;7;0;255,R_1;0;22;7;0;255,R_1;0;42;7;0;255,R_1;0;62;7;0;255,R_1;0;23;7;0;255,R_1;0;43;7;0;255,R_1;0;63;7;0;255,R_1;0;24;7;0;255,R_1;0;44;7;0;255,R_1;0;64;7;0;255,R_1;0;32;7;0;255,R_1;0;52;7;0;255,R_1;0;72;7;0;255,R_0;0;96;7;19;255,R_1;0;1;7;0;255,R_1;0;2;7;0;255,R_1;0;3;7;0;255,R_1;0;4;7;0;255
